gene_id	transcript_id(s)	length	D71_r1	D71_r2	EPG1_r1	EPG1_r2	R_r1	R_r2	whole_brain1	whole_brain2
FBgn0011293	FBtr0075290	567.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55	0.60
FBgn0011294	FBtr0077922	776.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64	0.00
FBgn0011296	FBtr0072100,FBtr0336685	739.5	0.0	1.15	0.0	0.0	0.0	0.0	0.49	1.10
FBgn0011297	FBtr0072095	1704.0	0.0	0.0	0.0	0.0	0.0	0.0	0.94	0.97
FBgn0011300	FBtr0088658,FBtr0088659,FBtr0300599	4800.53	29.7	4.89	6.16	10.98	13.26	11.24	34.96	35.74
FBgn0011305	FBtr0080079,FBtr0333411	931.94	87.91	62.77	70.36	59.57	29.0	0.0	35.51	40.40
FBgn0011327	FBtr0076472,FBtr0333867	1394.0	10.96	2.86	0.0	1.39	0.22	0.0	2.87	2.48
FBgn0011335	FBtr0075991	1513.0	1.01	0.93	0.12	0.75	0.0	0.41	3.74	4.85
FBgn0011336	FBtr0084786	2703.0	0.3	0.03	1.97	0.73	0.0	0.18	1.75	2.70
FBgn0011361	FBtr0072676,FBtr0072677,FBtr0331864	685.86	54.06	10.75	17.9	36.28	0.63	5.43	36.60	43.55
FBgn0011455	FBtr0076023,FBtr0334094	727.35	25.08	26.72	2.68	42.0	0.0	1.97	12.12	13.20
FBgn0011474	FBtr0082929,FBtr0082930,FBtr0309996	3982.01	5.33	6.01	3.07	8.08	7.83	0.0	17.84	16.61
FBgn0011476	FBtr0301089,FBtr0334696	543.5	0.0	0.0	44.88	7.91	1.2	0.0	3.77	5.20
FBgn0011481	FBtr0083611,FBtr0083612,FBtr0083613,FBtr0330051	4304.86	37.46	28.13	9.15	33.83	5.48	14.66	50.91	49.31
FBgn0011509	FBtr0076598,FBtr0333891	984.0	0.1	0.0	0.0	0.0	0.0	0.0	1.32	1.42
FBgn0011554	FBtr0088163	911.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.06
FBgn0011555	FBtr0088162	1047.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011556	FBtr0088164	947.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.06
FBgn0011559	FBtr0081054,FBtr0340581	2843.0	0.1	4.31	0.0	0.0	0.0	0.03	1.49	1.88
FBgn0011566	FBtr0070447	1762.0	0.37	0.1	0.05	1.1	2.59	2.12	1.07	1.09
FBgn0011569	FBtr0076299	2953.0	0.0	0.0	0.0	0.0	0.0	2.2	1.13	0.78
FBgn0011570	FBtr0077881,FBtr0331630	1713.0	3.24	10.94	1.77	6.55	0.78	0.18	5.80	7.81
FBgn0011573	FBtr0072777	1611.0	0.0	0.07	2.73	0.93	0.24	0.06	1.88	2.55
FBgn0011576	FBtr0070387,FBtr0345609	1582.0	2.34	0.0	0.0	1.19	0.0	0.0	1.04	0.75
FBgn0011581	FBtr0084607,FBtr0334600,FBtr0346341	908.0	2.04	0.0	3.16	0.2	68.45	0.12	142.43	159.19
FBgn0011582	FBtr0290283,FBtr0301351,FBtr0308191,FBtr0330711,FBtr0346763	5032.8	0.0	0.61	126.81	82.81	16.75	30.53	43.57	40.37
FBgn0011584	FBtr0079931,FBtr0079932,FBtr0305986,FBtr0343741	1998.45	9.81	1.91	2.36	18.87	1.62	0.15	14.97	17.36
FBgn0011586	FBtr0071266,FBtr0071267,FBtr0310067,FBtr0333604,FBtr0333605	888.68	22.52	60.22	2.16	19.73	136.0	0.0	42.18	43.90
FBgn0011589	FBtr0086802,FBtr0340287	5328.12	0.6	0.0	1.89	3.46	2.12	0.31	7.06	6.03
FBgn0011591	FBtr0078267	1959.0	0.0	0.0	0.0	0.0	0.0	0.0	5.41	5.46
FBgn0011592	FBtr0087821,FBtr0087822,FBtr0339649	5867.0	3.48	2.67	6.52	3.0	2.46	5.66	11.95	12.01
FBgn0011596	FBtr0084399	2391.0	0.69	0.49	0.0	0.0	0.0	0.0	1.51	1.72
FBgn0011603	FBtr0077446,FBtr0077447,FBtr0077448,FBtr0301407,FBtr0301408	3256.4	0.0	0.0	0.0	0.0	0.0	0.0	3.85	4.06
FBgn0011604	FBtr0087841,FBtr0087842,FBtr0087843	3541.0	13.82	12.18	0.85	3.46	0.63	17.04	14.92	13.80
FBgn0011606	FBtr0070448,FBtr0340093	4090.0	0.26	0.0	0.0	0.02	0.0	0.69	0.22	0.06
FBgn0011638	FBtr0081374	1549.0	7.8	10.0	0.0	10.12	0.2	0.0	6.28	7.67
FBgn0011640	FBtr0076841,FBtr0076842,FBtr0076843,FBtr0076844,FBtr0076845	1785.31	19.62	5.98	22.47	7.01	11.64	1.92	18.11	18.70
FBgn0011642	FBtr0089210,FBtr0089211,FBtr0089214,FBtr0309882,FBtr0345298	2016.47	26.51	6.33	9.89	25.84	27.52	34.98	75.77	69.90
FBgn0011648	FBtr0077616,FBtr0332372	2707.77	9.8	7.53	3.72	2.07	4.11	6.4	10.44	9.58
FBgn0011653	FBtr0073260,FBtr0332659	3655.5	0.0	0.02	0.0	0.0	0.0	0.0	0.34	0.31
FBgn0011655	FBtr0085815,FBtr0085816,FBtr0337030	3048.8	12.35	0.61	0.69	1.93	0.36	3.0	5.57	5.51
FBgn0011656	FBtr0088443,FBtr0088444,FBtr0088445,FBtr0088446,FBtr0088447,FBtr0330707,FBtr0330708	5201.25	18.49	4.87	15.79	11.94	41.65	29.83	60.88	55.48
FBgn0011659	FBtr0088790,FBtr0331379	2069.5	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.28
FBgn0011660	FBtr0087388	3040.0	0.15	0.18	1.63	0.0	0.29	0.0	2.04	1.48
FBgn0011661	FBtr0071269,FBtr0071270,FBtr0071271,FBtr0071272,FBtr0071273,FBtr0071274,FBtr0071275,FBtr0071276,FBtr0071277,FBtr0071278,FBtr0308193,FBtr0308194,FBtr0331601	2472.37	5.03	0.18	0.78	1.49	20.0	4.51	32.16	33.97
FBgn0011666	FBtr0084881,FBtr0084882,FBtr0305218,FBtr0305219,FBtr0333663,FBtr0333664,FBtr0333665	5759.84	30.38	21.07	15.76	53.31	11.07	11.32	62.79	62.47
FBgn0011668	FBtr0084914	325.0	4.47	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011669	FBtr0084915	195.0	10.16	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011670	FBtr0339163	378.0	0.0	0.0	0.0	3.75	0.0	0.0	0.52	0.00
FBgn0011672	FBtr0089521,FBtr0301477,FBtr0301478,FBtr0306350,FBtr0306351,FBtr0330046	2785.13	1.27	0.61	0.15	0.78	0.08	3.05	9.28	7.92
FBgn0011674	FBtr0071562	3887.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.11
FBgn0011676	FBtr0080188,FBtr0100489,FBtr0343888	4000.0	0.09	0.2	0.04	0.53	0.0	1.2	6.43	6.08
FBgn0011692	FBtr0073227	3207.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.08
FBgn0011693	FBtr0075426,FBtr0075427,FBtr0114536,FBtr0114537	930.0	0.0	0.0	0.0	0.0	0.0	0.0	5.37	5.72
FBgn0011694	FBtr0072455,FBtr0345580	493.5	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.00
FBgn0011695	FBtr0072164,FBtr0343340,FBtr0343341	836.0	0.25	0.0	0.0	0.0	0.3	0.21	2.20	1.83
FBgn0011701	FBtr0083564	2996.0	0.0	0.0	0.0	0.0	0.0	0.0	8.85	8.49
FBgn0011703	FBtr0080059	2577.0	0.39	0.0	0.2	0.0	0.0	0.0	0.35	0.30
FBgn0011704	FBtr0088046	1593.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.27
FBgn0011705	FBtr0079782,FBtr0331453,FBtr0331454	1491.33	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.44
FBgn0011706	FBtr0075120	901.0	0.92	0.11	0.0	0.0	0.0	0.0	3.88	4.67
FBgn0011708	FBtr0080831,FBtr0080832	1768.0	4.52	47.66	0.89	4.72	29.36	0.66	10.98	11.67
FBgn0011710	FBtr0077198	2026.0	4.81	8.96	1.62	2.68	2.93	0.0	6.14	7.26
FBgn0011715	FBtr0078682	1335.0	1.89	0.0	2.56	6.21	0.0	0.0	3.26	2.73
FBgn0011722	FBtr0079275,FBtr0343152	6973.5	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.30
FBgn0011723	FBtr0332070,FBtr0332071	2618.0	0.14	0.34	1.12	2.15	1.94	0.0	1.18	1.44
FBgn0011725	FBtr0084566,FBtr0084567,FBtr0084568,FBtr0084569,FBtr0084570,FBtr0084571	2995.77	10.05	4.37	2.24	5.17	4.5	3.01	15.25	16.29
FBgn0011726	FBtr0072188	735.0	8.84	0.14	0.0	2.08	18.93	0.0	19.24	22.90
FBgn0011737	FBtr0079371,FBtr0332329	2416.95	28.43	14.94	20.21	16.74	2.53	14.27	46.19	45.61
FBgn0011739	FBtr0085720	5803.0	5.56	2.37	2.19	7.85	3.74	0.34	16.44	15.58
FBgn0011740	FBtr0082031,FBtr0334302	3999.01	0.65	0.68	0.31	1.91	0.0	3.23	1.74	1.47
FBgn0011741	FBtr0074203	1347.0	3.66	0.99	0.0	0.0	0.0	0.0	2.56	1.43
FBgn0011742	FBtr0074295,FBtr0112868,FBtr0310673	2452.75	23.34	6.8	14.98	19.01	27.61	19.61	34.00	32.93
FBgn0011743	FBtr0340069	1378.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.04
FBgn0011745	FBtr0082652	1469.0	0.91	1.85	10.44	3.81	8.9	12.5	8.50	8.69
FBgn0011746	FBtr0088559,FBtr0300501,FBtr0339284	2305.0	0.0	0.48	0.0	0.0	4.69	0.0	16.12	14.19
FBgn0011747	FBtr0089171,FBtr0089172,FBtr0089173,FBtr0300497	5241.68	12.88	11.07	14.56	28.19	6.96	11.48	54.77	51.87
FBgn0011754	FBtr0090002,FBtr0301500,FBtr0301501,FBtr0343587,FBtr0343648	2307.77	10.91	39.83	41.47	18.31	2.32	13.46	28.93	26.77
FBgn0011758	FBtr0074430,FBtr0334459	2721.5	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.16
FBgn0011760	FBtr0070704,FBtr0070706,FBtr0070707,FBtr0307065	3294.28	135.29	126.02	140.64	210.23	345.18	194.39	712.79	761.57
FBgn0011761	FBtr0070749,FBtr0345745	862.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.62
FBgn0011762	FBtr0076603	1569.0	0.0	0.0	0.0	0.13	0.0	0.2	0.28	0.24
FBgn0011763	FBtr0087740,FBtr0087741,FBtr0333149	2516.14	17.0	10.35	1.93	16.88	1.22	13.02	19.25	21.94
FBgn0011766	FBtr0084117,FBtr0084118,FBtr0084119,FBtr0334678,FBtr0345217,FBtr0346157	3816.25	9.97	5.03	7.75	16.11	2.52	7.25	25.67	27.08
FBgn0011768	FBtr0082290	1337.0	0.65	0.0	0.0	0.0	0.0	0.0	0.77	0.00
FBgn0011769	FBtr0076498,FBtr0303475	715.0	1.68	1.2	0.28	0.17	9.22	0.0	1.73	2.46
FBgn0011770	FBtr0071472	996.0	0.31	0.0	0.0	0.11	0.0	0.55	4.38	3.44
FBgn0011771	FBtr0078510	3777.0	3.15	0.16	1.74	2.1	0.75	0.54	3.81	3.35
FBgn0011774	FBtr0082385,FBtr0334308	2048.0	0.36	0.0	0.04	8.47	0.0	0.0	1.25	0.78
FBgn0011785	FBtr0084604	7244.0	4.46	2.6	5.79	4.91	6.46	17.54	6.43	5.75
FBgn0011787	FBtr0076511	738.0	11.43	0.29	1.63	19.26	0.0	6.94	3.02	3.71
FBgn0011802	FBtr0076292,FBtr0334100	3423.0	0.05	1.46	0.0	0.0	0.34	0.0	6.83	6.48
FBgn0011812	FBtr0088762	456.0	0.0	0.0	0.0	0.0	0.0	0.0	1.91	0.50
FBgn0011817	FBtr0076754,FBtr0076755,FBtr0076756,FBtr0076757,FBtr0076758,FBtr0076759,FBtr0333223	4297.67	46.07	29.76	17.77	42.48	54.62	29.5	95.14	93.67
FBgn0011818	FBtr0077777,FBtr0077778,FBtr0077779,FBtr0077780	2858.2	9.42	13.82	10.55	24.09	0.59	20.93	28.06	29.54
FBgn0011822	FBtr0070100	1310.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.04
FBgn0011824	FBtr0071639	957.0	0.0	0.0	0.0	0.12	0.0	0.0	1.20	1.83
FBgn0011826	FBtr0074294,FBtr0305593,FBtr0309793	4623.55	12.93	9.67	17.24	37.29	7.39	5.61	31.68	29.87
FBgn0011828	FBtr0072950,FBtr0072951,FBtr0072952,FBtr0072953,FBtr0072954	4975.2	39.12	11.29	42.06	98.63	0.22	8.33	7.26	8.22
FBgn0011829	FBtr0081493,FBtr0081494,FBtr0081495	4791.33	0.0	0.0	0.0	0.0	0.0	0.0	0.94	0.65
FBgn0011832	FBtr0077806	845.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011834	FBtr0077272	901.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.33
FBgn0011836	FBtr0076361,FBtr0332688	3858.0	1.02	0.0	0.19	0.25	0.0	0.0	1.08	0.93
FBgn0011837	FBtr0073683,FBtr0333756,FBtr0345165	5009.0	0.04	0.22	0.51	0.08	0.0	0.0	4.05	4.42
FBgn0011840	FBtr0083499	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011844	FBtr0075834	72.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011845	FBtr0084649	72.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011848	FBtr0086446	72.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011849	FBtr0086447	72.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011850	FBtr0086448	72.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011851	FBtr0072685	72.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011852	FBtr0072686	72.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011853	FBtr0072687	72.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011854	FBtr0072690	72.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011855	FBtr0072691	72.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011858	FBtr0083267	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011859	FBtr0077872	71.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011860	FBtr0077821	71.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011861	FBtr0079528	71.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011862	FBtr0089613	71.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011863	FBtr0080666	71.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011864	FBtr0080665	71.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011865	FBtr0080664	71.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011866	FBtr0080663	71.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011867	FBtr0087055	71.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011868	FBtr0086659	71.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011869	FBtr0086312	71.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011870	FBtr0086314	71.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011871	FBtr0071630	71.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011872	FBtr0071581	71.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011877	FBtr0087901	72.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011878	FBtr0087900	72.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011879	FBtr0086908	72.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011880	FBtr0085984	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011881	FBtr0087713	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011882	FBtr0087658	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011883	FBtr0087659	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011884	FBtr0087660	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011885	FBtr0087661	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011887	FBtr0085983	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011888	FBtr0086013	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011889	FBtr0086014	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011890	FBtr0086007	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011891	FBtr0086017	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011892	FBtr0086190	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011893	FBtr0086189	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011894	FBtr0086188	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011895	FBtr0086187	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011896	FBtr0087688	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011897	FBtr0086334	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011902	FBtr0079596	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011904	FBtr0081660	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011905	FBtr0082544	72.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011906	FBtr0088703	83.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011909	FBtr0089303	83.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011910	FBtr0089302	83.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011915	FBtr0088071	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011916	FBtr0088086	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011919	FBtr0081706	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011921	FBtr0088465	72.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011927	FBtr0075713	72.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011928	FBtr0075681	72.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011931	FBtr0085982	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011932	FBtr0085981	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011933	FBtr0086015	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011934	FBtr0085989	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011935	FBtr0086004	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011936	FBtr0100016	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011937	FBtr0100015	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011938	FBtr0086016	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011944	FBtr0083501	72.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011945	FBtr0083469	72.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011948	FBtr0073860	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011949	FBtr0073861	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011950	FBtr0073862	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011951	FBtr0073863	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011952	FBtr0073857	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011953	FBtr0073871	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011954	FBtr0077184	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011955	FBtr0086006	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011956	FBtr0085985	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011957	FBtr0085980	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011958	FBtr0085979	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011959	FBtr0081809	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011960	FBtr0081810	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011961	FBtr0081811	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011962	FBtr0081812	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011963	FBtr0081813	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011965	FBtr0078790	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011966	FBtr0081923	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011970	FBtr0082241	82.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011971	FBtr0082919	82.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011974	FBtr0073865	82.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011975	FBtr0073858	82.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011976	FBtr0073859	82.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011977	FBtr0073872	82.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011980	FBtr0073886	82.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011981	FBtr0073866	82.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011982	FBtr0073885	82.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011983	FBtr0073870	82.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011984	FBtr0077613	82.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011985	FBtr0077577	82.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011986	FBtr0077142	82.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011987	FBtr0088156	87.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011993	FBtr0083497	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011994	FBtr0083496	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011998	FBtr0081536	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0011999	FBtr0081535	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0012000	FBtr0081561	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0012001	FBtr0081558	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0012002	FBtr0083466	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0012003	FBtr0083799	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0012004	FBtr0083792	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0012009	FBtr0075856	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0012010	FBtr0075847	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0012011	FBtr0083268	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0012016	FBtr0089298	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0012017	FBtr0089299	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0012018	FBtr0089297	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0012024	FBtr0081884	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0012025	FBtr0081885	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0012026	FBtr0081886	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0012027	FBtr0081894	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0012028	FBtr0081895	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0012034	FBtr0078413,FBtr0078414,FBtr0333126	2556.0	19.15	16.56	70.48	97.65	60.87	41.04	94.15	89.68
FBgn0012036	FBtr0079806,FBtr0332597	1900.0	0.29	0.05	0.59	0.96	0.0	0.58	7.78	8.36
FBgn0012037	FBtr0080552,FBtr0080553,FBtr0343667	2038.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55	0.64
FBgn0012042	FBtr0087437	790.0	0.0	0.0	0.82	0.0	0.0	0.0	0.18	0.23
FBgn0012051	FBtr0086529,FBtr0086530,FBtr0112869,FBtr0340532	2547.34	14.65	0.7	8.12	0.9	16.29	5.86	12.57	13.52
FBgn0012058	FBtr0076890,FBtr0333369	3541.7	2.48	5.76	1.85	10.73	5.36	17.03	10.42	14.28
FBgn0012344	FBtr0082080,FBtr0344343	1892.0	0.0	3.14	0.25	2.13	1.32	6.8	77.89	84.01
FBgn0013263	FBtr0075703,FBtr0075704,FBtr0075705,FBtr0075706,FBtr0075707,FBtr0075708,FBtr0100444,FBtr0100445,FBtr0333045,FBtr0333046	2802.56	19.82	1.15	2.74	10.77	1.85	61.54	24.45	21.26
FBgn0013269	FBtr0083120	1299.0	0.0	22.01	0.0	0.0	0.0	0.0	4.25	1.97
FBgn0013272	FBtr0071813,FBtr0071814,FBtr0071815,FBtr0071816,FBtr0342985,FBtr0342986	4261.17	0.0	0.0	5.31	0.0	0.03	0.02	6.50	7.14
FBgn0013275	FBtr0082512	2382.0	44.16	50.18	53.48	18.98	31.89	52.23	0.00	0.00
FBgn0013276	FBtr0082482	2375.0	41.57	45.92	11.5	60.86	24.61	7.34	4.34	3.92
FBgn0013277	FBtr0082679	2324.0	10.21	2.55	1.59	5.7	1.39	1.3	0.13	0.07
FBgn0013278	FBtr0082637	2347.0	73.59	41.66	43.82	53.43	23.2	16.56	2.45	2.37
FBgn0013279	FBtr0082638	2386.0	39.45	15.89	9.56	33.25	32.31	2.73	1.41	1.33
